Source City,Destination City
Fukuoka,Veracruz
Anadyr,Akron/Canton
Faro,Yancheng
Fort Lauderdale,Addis Ababa
Dandong,Anadyr
Denver,Munich
San Francisco,Rabaul
Shanghai,San Francisco
Mukah,Riyadh
Shanghai,Addis Ababa
Addis Ababa,Paris
Detroit,Nairobi
Nagasaki,Korla
Riyadh,Munich
Rabaul,Vantaa
Geneva,Lahore
Mumbai,Veracruz
Buenos Aires,Madrid
Geneva,Lisbon
Dubai,Faro
Escanaba,Rabaul
San Francisco,Korla
Islamabad,Chennai/Madras
Madrid,Zhengzhou
Macae,Mukah
Akron/Canton,Riyadh
Fukuoka,Olbia
Buenos Aires,Washington
Taiz,Vantaa
Addis Ababa,Bettles
Anadyr,Kiev
San Francisco,Nagasaki
Macae,Santo Domingo
Delhi,Singapore
Tianjin,Kiev
Hanover,Seoul
Nairobi,Washington
Luzhou,Macae
Hanover,Windsor Locks
Geneva,Fukuoka
Minsk,Shanghai
Riyadh,Luzhou
Zhengzhou,Bettles
Taipei,Kiev
Mukah,Washington
Anadyr,Mumbai
Lisbon,Washington
Islamabad,Mukah
Lahore,Mumbai
Boston,Macae
Wuxi,Mukah
Toronto,Geneva
Anadyr,Delhi
Akron/Canton,Lahore
Wuxi,Islamabad
Olbia,Dubai
Dubai,Denver
Delhi,San Francisco
Reykjavik,Mumbai
Anadyr,Nagasaki
Chennai/Madras,Madrid
Paris,Riyadh
Mumbai,Korla
Veracruz,Lahore
Detroit,Windsor Locks
Redencao,Rabaul
Shanghai,Geneva
Fort Lauderdale,Kiev
Kiev,Vantaa
Riyadh,Nairobi
Fukuoka,Lahore
Addis Ababa,Fukuoka
San Francisco,Lisbon
Bremen,Bettles
Toronto,Singapore
Dandong,San Francisco
Boston,Korla
Reykjavik,Denver
Olbia,Nairobi
Singapore,Seoul
Rabaul,Olbia
Cancun,Madrid
Korla,Windsor Locks
Detroit,Cancun
Escanaba,Santo Domingo
Riyadh,Tianjin
Delhi,Detroit
Luzhou,Mumbai
Dandong,Nagasaki
Santo Domingo,Rabaul
Tianjin,Boston
Korla,Delhi
Mumbai,Paris
San Francisco,Oita
Fukuoka,Nairobi
San Francisco,Madrid
Seoul,Zhengzhou
Hanover,Dubai
Nairobi,Dandong
Denver,Dortmund
Hanover,Lisbon
Williams Lake,Toronto
Madrid,Vantaa
Mukah,Delhi
Geneva,Oita
Minsk,Paris
Redencao,Dortmund
Washington,Zhengzhou
Luzhou,Taipei
Nairobi,Korla
Riyadh,Chennai/Madras
Dandong,Taipei
Dortmund,Islamabad
Toronto,Chennai/Madras
Akron/Canton,Faro
Islamabad,Nagasaki
Cancun,Nairobi
Veracruz,Minsk
Fort Lauderdale,Veracruz
Olbia,Bremen
Dandong,Chennai/Madras
Wuxi,Vantaa
Macae,Shanghai
Vantaa,Nairobi
Paris,Boston
Singapore,Dandong
Denver,Lisbon
Akron/Canton,Munich
San Francisco,Munich
Wuxi,Delhi
Faro,Wroclaw
Islamabad,Korla
Santo Domingo,Addis Ababa
Escanaba,Fukuoka
Toronto,Mukah
Geneva,Luzhou
Nairobi,Tianjin
Taipei,Seoul
Detroit,Madrid
Mumbai,Faro
Faro,Nagasaki
Oita,Washington
Buenos Aires,Macae
Wuxi,Seoul
Denver,Boston
Addis Ababa,Taiz
Bettles,Shanghai
Dandong,Zhengzhou
Munich,Zhengzhou
Singapore,Bettles
