Source City,Destination City
Singapore,Dubai
Singapore,Beijing
Singapore,Shanghai
Singapore,Seoul
Singapore,Tokyo
Singapore,Sydney
Singapore,Finland
Singapore,Mumbai 
Singapore,Italy
Singapore,Los Angeles
Singapore,London 
Singapore,Istanbul
Singapore,Hong Kong
Dubai,Beijing
Dubai,Shanghai
Dubai,Seoul
Dubai,Tokyo
Dubai,Sydney
Dubai,Finland
Dubai,Mumbai 
Dubai,Italy
Dubai,Los Angeles
Dubai,London 
Dubai,Istanbul
Dubai,Hong Kong
Beijing,Shanghai
Beijing,Seoul
Beijing,Tokyo
Beijing,Sydney
Beijing,Finland
Beijing,Mumbai 
Beijing,Italy
Beijing,Los Angeles
Beijing,London 
Beijing,Istanbul
Beijing,Hong Kong
Shanghai,Seoul
Shanghai,Tokyo
Shanghai,Sydney
Shanghai,Finland
Shanghai,Mumbai 
Shanghai,Italy
Shanghai,Los Angeles
Shanghai,London 
Shanghai,Istanbul
Shanghai,Hong Kong
Seoul,Tokyo
Seoul,Sydney
Seoul,Finland
Seoul,Mumbai 
Seoul,Italy
Seoul,Los Angeles
Seoul,London 
Seoul,Istanbul
Seoul,Hong Kong
Tokyo,Sydney
Tokyo,Finland
Tokyo,Mumbai 
Tokyo,Italy
Tokyo,Los Angeles
Tokyo,London 
Tokyo,Istanbul
Tokyo,Hong Kong
Sydney,Finland
Sydney,Mumbai 
Sydney,Italy
Sydney,Los Angeles
Sydney,London 
Sydney,Istanbul
Sydney,Hong Kong
Finland,Mumbai 
Finland,Italy
Finland,Los Angeles
Finland,London 
Finland,Istanbul
Finland,Hong Kong
Mumbai,Italy
Mumbai,Los Angeles
Mumbai,London 
Mumbai,Istanbul
Mumbai,Hong Kong
Italy,Los Angeles
Italy,London 
Italy,Istanbul
Italy,Hong Kong
Los Angeles,London 
Los Angeles,Istanbul
Los Angeles,Hong Kong
London,Istanbul
London,Hong Kong
Istanbul,Hong Kong
