Source City,Destination City
Dubai,Istanbul
Beijing,Italy
Beijing,Shanghai
Shanghai,Hong Kong
Singapore,Italy
Singapore,Mumbai 
Shanghai,Mumbai 
Singapore,London 
Sydney,London 
Singapore,Istanbul
Tokyo,Sydney
Dubai,Hong Kong
Seoul,Istanbul
Singapore,Los Angeles
Sydney,Istanbul
Shanghai,Istanbul
Sydney,Mumbai 
Singapore,Dubai
Seoul,Mumbai 
Singapore,Seoul
Tokyo,Hong Kong
Tokyo,Los Angeles
Beijing,London 
Dubai,London 
Seoul,Los Angeles
Sydney,Finland
Seoul,Tokyo
Singapore,Finland
Beijing,Finland
Singapore,Sydney
Tokyo,Finland
Sydney,Los Angeles
Tokyo,Mumbai 
Tokyo,London 
Dubai,Beijing
Tokyo,Italy
Shanghai,Sydney
Singapore,Beijing
Beijing,Istanbul
Shanghai,Finland
Singapore,Hong Kong
Dubai,Sydney
Tokyo,Istanbul
Finland,Mumbai 
Seoul,Sydney
Beijing,Hong Kong
Singapore,Shanghai
Singapore,Tokyo
Dubai,Los Angeles
Shanghai,Italy
Seoul,Finland
Beijing,Los Angeles
Shanghai,Tokyo
Seoul,London 
Finland,Italy
Seoul,Hong Kong
Beijing,Seoul
Sydney,Italy
Sydney,Hong Kong
Beijing,Tokyo
Beijing,Mumbai 
Seoul,Italy
Dubai,Finland
Shanghai,Los Angeles
Shanghai,Seoul
Beijing,Sydney
Dubai,Shanghai
Dubai,Seoul
Dubai,Mumbai 
Dubai,Tokyo
Dubai,Italy
Shanghai,London 
