Source City,Destination City
Iraq,Sweden
Bulgaria,Kyrgyz Republic
Puerto Rico,Martinique
Armenia,Poland
Martinique,Sweden
Finland,Poland
Western Sahara,Puerto Rico
Lebanon,Hong Kong
Western Sahara,Slovenia
Poland,Nicaragua
Jamaica,Nicaragua
British Virgin Islands,Nicaragua
Iraq,Swaziland
Iraq,Mongolia
Saudi Arabia,Sudan
Sudan,Russian Federation
Armenia,Nicaragua
Mongolia,Nicaragua
Saudi Arabia,Russian Federation
Martinique,Saudi Arabia
Iraq,Sweden
Morocco,Slovenia
Russian Federation,Morocco
Trinidad and Tobago,Saudi Arabia
Swaziland,Iraq
Hong Kong,Austria
Swaziland,Austria
Iraq,Slovenia
Sudan,Kyrgyz Republic
Jamaica,Nicaragua
Guatemala,Sierra Leone
Slovenia,Saint Lucia
Mongolia,Sierra Leone
Hong Kong,Poland
Sweden,Lebanon
Guatemala,Jamaica
Poland,Kyrgyz Republic
British Virgin Islands,Swaziland
Austria,Mongolia
Saudi Arabia,Martinique
Mongolia,Puerto Rico
Sudan,Morocco
Guatemala,Saudi Arabia
British Virgin Islands,Puerto Rico
Sudan,Nicaragua
Jamaica,British Virgin Islands
Sierra Leone,Poland
Saint Lucia,Sierra Leone
Puerto Rico,Swaziland
Iraq,Jamaica
Armenia,Poland
Sierra Leone,Armenia
Bulgaria,Kyrgyz Republic
Russian Federation,Finland
Martinique,Poland
Swaziland,Morocco
Armenia,Iraq
Saudi Arabia,British Virgin Islands
Finland,Armenia
Swaziland,Iraq
Sweden,British Virgin Islands
Russian Federation,Slovenia
Hong Kong,Trinidad and Tobago
Lebanon,Trinidad and Tobago
Jamaica,Western Sahara
Martinique,Puerto Rico
Jamaica,Western Sahara
Saudi Arabia,Puerto Rico
Slovenia,Trinidad and Tobago
Sierra Leone,Finland
Mongolia,Trinidad and Tobago
Sweden,Bulgaria
Hong Kong,Martinique
Martinique,Austria
Austria,Western Sahara
Trinidad and Tobago,Slovenia
British Virgin Islands,Poland
Martinique,Sierra Leone
Trinidad and Tobago,Western Sahara
Morocco,Armenia
Russian Federation,Morocco
Sudan,Armenia
Sierra Leone,Slovenia
Mongolia,Saudi Arabia
Finland,Mongolia
Lebanon,Mongolia
Guatemala,Slovenia
British Virgin Islands,Swaziland
Martinique,Armenia
Trinidad and Tobago,Sweden
Saint Lucia,Finland
Finland,Guatemala
Sudan,Hong Kong
Slovenia,Bulgaria
Morocco,Saint Lucia
Puerto Rico,Mongolia
Armenia,Sweden
Kyrgyz Republic,Lebanon
