Source City,Destination City
Birmingham,Hong Kong
Washington,London
Minneapolis,Washington
Hong Kong,Toronto
Shannon,Moscow
Sokoto,Moscow
London,Faro
Dusseldorf,Shannon
Washington,Saipan
Kalibo,Shannon
Calgary,Pune
Adrar,Kalibo
Tallinn,Calgary
Pune,Aktau
Moscow,Oslo
Kuwait City,Moscow
Adrar,Hong Kong
Kalibo,Washington
Shannon,Birmingham
Aktau,Calgary
Verona,Dusseldorf
Toronto,Adrar
Belgrade,Accra
Saipan,Puerto del Rosario
Accra,Sokoto
Saipan,Shannon
Palma Mallorca,Kuwait City
Miami,London
Tasiujuaq,Hong Kong
Yerevan,Kuwait City
Minneapolis,Dusseldorf
Washington,Yerevan
Shannon,Palma Mallorca
Washington,Moscow
Kalibo,Calgary
Tasiujuaq,Aktau
Dusseldorf,Sokoto
Shannon,Puerto del Rosario
Calgary,Adrar
Shannon,Washington
Hong Kong,Shannon
London,Birmingham
Belgrade,Kalibo
Oslo,Calgary
Yerevan,Faro
Launceston,Tasiujuaq
Tallinn,Minneapolis
Tasiujuaq,Belgrade
Pune,Washington
Yerevan,Miami
Verona,Tallinn
Minneapolis,Kuwait City
Birmingham,Adrar
Oslo,Shannon
Moscow,Yerevan
Accra,Aktau
Faro,Shannon
Launceston,Palma Mallorca
Accra,Saipan
Tallinn,Tasiujuaq
Calgary,Dusseldorf
Faro,Saipan
Tallinn,Birmingham
Tallinn,Faro
Aktau,Tallinn
Minneapolis,Monastir
Adrar,Faro
Faro,Hong Kong
Launceston,Pune
Hong Kong,Monastir
Verona,Launceston
London,Launceston
Birmingham,Yerevan
Miami,Shannon
Accra,Pune
Verona,Palma Mallorca
Accra,Palma Mallorca
Faro,Dusseldorf
Pune,Kalibo
Launceston,Kalibo
Toronto,Shannon
Adrar,Verona
Shannon,Monastir
Puerto del Rosario,Oslo
Toronto,Calgary
London,Hong Kong
Hong Kong,Sokoto
Monastir,Kalibo
Puerto del Rosario,Calgary
Shannon,Sokoto
Saipan,Minneapolis
Aktau,Toronto
Birmingham,Faro
Monastir,Kuwait City
Pune,Belgrade
Puerto del Rosario,Palma Mallorca
Tallinn,Accra
Pune,Oslo
Dusseldorf,Moscow
Faro,Calgary
Washington,Calgary
Launceston,Washington
Sokoto,Calgary
Washington,Monastir
Palma Mallorca,Washington
Faro,Kuwait City
London,Kalibo
Sokoto,Saipan
Birmingham,Miami
Tallinn,Palma Mallorca
Monastir,Saipan
Accra,Yerevan
Calgary,Birmingham
Launceston,Tallinn
Adrar,Monastir
Kuwait City,Tasiujuaq
Verona,Shannon
Aktau,Monastir
Yerevan,Saipan
Dusseldorf,Birmingham
Accra,Faro
Pune,Monastir
Sokoto,Tasiujuaq
Hong Kong,Miami
Kalibo,Accra
Hong Kong,Yerevan
London,Kuwait City
Hong Kong,Belgrade
Minneapolis,Kalibo
Belgrade,Tallinn
Washington,Birmingham
Shannon,Belgrade
Adrar,Saipan
Dusseldorf,London
Launceston,Faro
Belgrade,Yerevan
Yerevan,Minneapolis
London,Yerevan
Dusseldorf,Launceston
Tasiujuaq,Dusseldorf
Kuwait City,Miami
Belgrade,Palma Mallorca
Monastir,Tasiujuaq
Accra,Dusseldorf
Faro,Toronto
Palma Mallorca,Kalibo
Toronto,Sokoto
Birmingham,Pune
Verona,Toronto
Birmingham,Moscow
Sokoto,Kalibo
Puerto del Rosario,Monastir
Minneapolis,Hong Kong
Toronto,Pune
Shannon,Kuwait City
Kuwait City,Birmingham
Minneapolis,Oslo
Palma Mallorca,Adrar
Verona,Faro
Yerevan,Oslo
Palma Mallorca,Toronto
Oslo,Faro
Oslo,Tallinn
Yerevan,Launceston
Kuwait City,Oslo
