Source City,Destination City
Western Sahara,Jamaica
Martinique,Swaziland
Saint Lucia,Armenia
Armenia,Kyrgyz Republic
Swaziland,Russian Federation
Kyrgyz Republic,Iraq
Sudan,Nicaragua
Kyrgyz Republic,Saint Lucia
Puerto Rico,Poland
Russian Federation,Guatemala
Austria,Saudi Arabia
Guatemala,Sweden
British Virgin Islands,Hong Kong
Lebanon,Nicaragua
Russian Federation,Slovenia
Austria,Morocco
Poland,Guatemala
Armenia,Trinidad and Tobago
Austria,Swaziland
Kyrgyz Republic,Sudan
Saint Lucia,Nicaragua
Saint Lucia,Guatemala
Kyrgyz Republic,Jamaica
Western Sahara,Slovenia
Saint Lucia,Finland
Guatemala,British Virgin Islands
Puerto Rico,Sweden
Armenia,Saint Lucia
Russian Federation,Mongolia
Swaziland,Bulgaria
Sweden,Sierra Leone
British Virgin Islands,Swaziland
Bulgaria,Finland
Lebanon,Nicaragua
Bulgaria,Martinique
Russian Federation,Lebanon
Slovenia,Kyrgyz Republic
Sierra Leone,Bulgaria
Lebanon,Saudi Arabia
Austria,Armenia
Poland,British Virgin Islands
Guatemala,Bulgaria
Iraq,British Virgin Islands
Austria,Saint Lucia
Swaziland,Bulgaria
