Source City,Destination City
Guatemala,Kyrgyz Republic
British Virgin Islands,Martinique
Lebanon,Kyrgyz Republic
British Virgin Islands,Western Sahara
Kyrgyz Republic,Morocco
Kyrgyz Republic,Martinique
Slovenia,Nicaragua
Sudan,Sierra Leone
Sierra Leone,Bulgaria
Jamaica,Mongolia
Sweden,Austria
Russian Federation,Bulgaria
Lebanon,Finland
Sweden,Iraq
Hong Kong,Sweden
Saint Lucia,Sweden
Austria,Slovenia
Sweden,Western Sahara
Poland,Slovenia
Puerto Rico,Hong Kong
Mongolia,Armenia
Kyrgyz Republic,Iraq
Guatemala,Hong Kong
Slovenia,Saudi Arabia
Austria,Iraq
Slovenia,Western Sahara
Finland,Sudan
Hong Kong,Finland
Sierra Leone,Russian Federation
Morocco,Nicaragua
Armenia,Austria
Poland,Jamaica
Hong Kong,Lebanon
Sudan,Russian Federation
Sudan,Finland
Saint Lucia,Russian Federation
Slovenia,Sierra Leone
Slovenia,Sierra Leone
Saint Lucia,Bulgaria
Western Sahara,Iraq
Mongolia,Puerto Rico
Sudan,Jamaica
Jamaica,Kyrgyz Republic
Sierra Leone,British Virgin Islands
Sudan,Poland
Western Sahara,Slovenia
Mongolia,Iraq
Kyrgyz Republic,Finland
Saudi Arabia,Martinique
Swaziland,Jamaica
Jamaica,Morocco
Nicaragua,Trinidad and Tobago
Slovenia,Iraq
Russian Federation,Iraq
Slovenia,Puerto Rico
Morocco,Martinique
Iraq,Swaziland
Guatemala,Kyrgyz Republic
Sudan,Nicaragua
Mongolia,Russian Federation
Trinidad and Tobago,Swaziland
Armenia,Poland
Sudan,Iraq
Swaziland,Finland
Bulgaria,Puerto Rico
Western Sahara,Lebanon
Poland,Martinique
Trinidad and Tobago,Mongolia
Bulgaria,Morocco
Mongolia,Sweden
Austria,Trinidad and Tobago
Bulgaria,Hong Kong
Trinidad and Tobago,Poland
Guatemala,Jamaica
Iraq,Morocco
Slovenia,Armenia
Mongolia,Austria
Kyrgyz Republic,Slovenia
Puerto Rico,Sweden
Puerto Rico,Lebanon
Saudi Arabia,Puerto Rico
Saint Lucia,Finland
Lebanon,Trinidad and Tobago
Saudi Arabia,Mongolia
Sudan,Saudi Arabia
Martinique,Iraq
Poland,Russian Federation
Armenia,Puerto Rico
Poland,Russian Federation
Mongolia,Kyrgyz Republic
Martinique,Swaziland
Finland,Lebanon
Finland,Austria
Iraq,Sierra Leone
Kyrgyz Republic,Lebanon
Martinique,Kyrgyz Republic
Sweden,Morocco
Nicaragua,Morocco
Swaziland,Martinique
Sierra Leone,Trinidad and Tobago
Martinique,Lebanon
Finland,Puerto Rico
Jamaica,Iraq
Jamaica,Hong Kong
Kyrgyz Republic,Trinidad and Tobago
Mongolia,Iraq
Sierra Leone,Trinidad and Tobago
Lebanon,Jamaica
Armenia,Austria
Western Sahara,Martinique
Swaziland,Slovenia
Austria,Saint Lucia
Saudi Arabia,Sweden
Bulgaria,Kyrgyz Republic
Guatemala,Puerto Rico
Slovenia,Trinidad and Tobago
Slovenia,Mongolia
Hong Kong,Martinique
Russian Federation,Sudan
Hong Kong,Sweden
Sweden,Slovenia
Nicaragua,Sweden
Guatemala,Nicaragua
Iraq,Kyrgyz Republic
Armenia,Morocco
Slovenia,Western Sahara
Austria,Saudi Arabia
Guatemala,Hong Kong
Sudan,Iraq
Western Sahara,Swaziland
